Skill,Posting Mentions
"sql",5481
"python",4500
"cloud",3704
"aws",3177
"excel",2365
"agile",2347
"tableau",2145
"azure",2130
"machine_learning",2105
"database",1905
"programming",1891
"etl",1791
"microsoft",1699
"r",1677
"spark",1504
"bi",1196
"snowflake",1084
"java",918
"redshift",898
"saas",845
"looker",833
"warehousing",824
"hadoop",816
"powerpoint",748
"ai",738
"airflow",725
"ml",712
"go",696
"oracle",680
"power_bi",669
"word",650
"devops",646
"scala",646
"server",633
"coding",629
"jira",616
"nosql",601
"scrum",578
"git",562
"gcp",537
"data_lake",516
"mysql",486
"powerbi",436
"pandas",431
"ci/cd",430
"c",420
"docker",400
"apache",399
"postgres",376
"bigquery",364
"sas",349
"tensorflow",346
"visio",340
"sap",324
"pyspark",320
"nlp",315
"numpy",299
"github",291
"javascript",289
"outlook",238
"data_lakes",235
"backend",234
"linux",231
"postgresql",224
"pytorch",223
"slack",219
"ssis",204
"mongodb",202
"ibm",200
"scikit-learn",191
"json",178
"qlik",162
"sharepoint",160
"xml",155
"ruby",151
"c++",149
"alteryx",148
"keras",139
"shell",139
"unix",138
"no-sql",137
"jupyter",134
"gitlab",131
"spreadsheets",131
"macros",129
"matlab",127
"redis",125
"vba",124
"ai/ml",121
"spss",119
"ssrs",115
"html",114
"cognos",113
"bash",102
"t-sql",99
"golang",93
"agile/scrum",91
"kanban",91
"iot",88
"mlops",86
"microstrategy",85
"spreadsheet",84
"dataops",82
"css",80
"gdpr",78
"node.js",77
"pl/sql",69
"ssas",64
"powershell",61
"splunk",60
"kotlin",59
"mongo",59
"dax",58
"back-end",57
"rust",57
"aurora",55
"cicd",55
"atlassian",53
"paas",53
"matplotlib",51
"codebase",50
"twilio",50
"mssql",42
"plotly",40
"terminal",40
"perl",39
"ios",38
"nuix",38
"nltk",36
"bloomberg",35
"unix/linux",35
"graphql",33
"bitbucket",31
"c/c++",30
"visual_basic",29
"seaborn",27
"selenium",27
"frontend",26
"php",25
"datadog",23
"node",23
"linux/unix",22
"scrum/agile",21
"asp.net",16
"datarobot",16
"iaas",16
"mxnet",14
"js",13
"powerpoints",13
"swift",12
"jquery",10
"theano",9
"vb.net",9
"dplyr",7
"javascript/typescript",7
"vue",6
"ajax",4
"fullstack",4
"rshiny",4
"ubuntu",4
"html5",3
"mlr",2
"sass",2
"vue.js",2
"ember.js",1
"ggplot2",1
"tidyr",1
